date,day,日,曜,col,客数,売上,祝祭日,祝祭日前日,振替休日,
2021/6/28 0:00,28,28,月,曇時々雨一時晴、雷を伴う,319,291930,0,0,0,
2021/6/29 0:00,29,29,火,晴後時々曇,380,310010,0,0,0,
2021/6/30 0:00,30,30,水,曇時々晴,348,315985,0,0,0,
2021/7/1 0:00,1,1,木,晴後一時曇,393,330715,0,0,0,
2021/7/2 0:00,2,2,金,曇一時雨,394,340635,0,0,0,
2021/7/3 0:00,3,3,土,雨時々曇,404,386725,0,0,0,
2021/7/4 0:00,4,4,日,曇後時々雨,562,592480,0,0,0,
2021/7/5 0:00,5,5,月,雨後曇時々晴,301,268240,0,0,0,
2021/7/6 0:00,6,6,火,曇時々雨,292,258240,0,0,0,
2021/7/7 0:00,7,7,水,曇時々雨,271,264100,0,0,0,
2021/7/8 0:00,8,8,木,雨時々曇、雷を伴う,269,231155,0,0,0,
2021/7/9 0:00,9,9,金,曇時々雨、雷を伴う,291,235970,0,0,0,
2021/7/10 0:00,10,10,土,曇時々雨,390,355745,0,0,0,
2021/7/11 0:00,11,11,日,曇一時晴後一時雨、雷を伴う,630,623650,0,0,0,
2021/7/12 0:00,12,12,月,曇時々雨、雷を伴う,365,301075,0,0,0,
2021/7/13 0:00,13,13,火,曇時々晴、雷を伴う,330,290245,0,0,0,
2021/7/14 0:00,14,14,水,晴後一時雨、雷を伴う,383,312905,0,0,0,
2021/7/15 0:00,15,15,木,晴後雨時々曇、雷を伴う,317,279040,0,0,0,
2021/7/16 0:00,16,16,金,曇時々晴、雷を伴う,363,316535,0,0,0,
2021/7/17 0:00,17,17,土,雨時々曇,523,467985,0,0,0,
2021/7/18 0:00,18,18,日,晴後曇一時雨、雷を伴う,666,652935,0,0,0,
2021/7/19 0:00,19,19,月,曇時々雨一時晴、雷を伴う,352,323210,0,0,0,
2021/7/20 0:00,20,20,火,晴時々曇,356,315215,0,0,0,
2021/7/21 0:00,21,21,水,曇時々晴,381,362860,0,1,0,
2021/7/22 0:00,22,22,木,曇,656,634325,1,1,0,
2021/7/23 0:00,23,23,金,曇一時晴,743,722475,1,0,0,
2021/7/24 0:00,24,24,土,曇時々晴,608,573570,0,0,0,
2021/7/25 0:00,25,25,日,曇時々晴,720,686200,0,0,0,
2021/7/26 0:00,26,26,月,晴後曇一時雨,353,327815,0,0,0,
2021/7/27 0:00,27,27,火,晴,344,301090,0,0,0,
2021/7/28 0:00,28,28,水,晴,356,301870,0,0,0,
2021/7/29 0:00,29,29,木,晴,350,293240,0,0,0,
2021/7/30 0:00,30,30,金,晴時々曇,374,376480,0,0,0,
2021/7/31 0:00,31,31,土,曇一時晴後一時雨、雷を伴う,555,544155,0,0,0,
2021/8/1 0:00,1,1,日,雨後曇一時晴、雷を伴う,519,555475,0,0,0,
2021/8/2 0:00,2,2,月,曇一時雨後時々晴、雷を伴う,349,329005,0,0,0,
2021/8/3 0:00,3,3,火,曇一時雨後晴,306,275270,0,0,0,
2021/8/4 0:00,4,4,水,晴後一時雨、雷を伴う,327,321485,0,0,0,
2021/8/5 0:00,5,5,木,晴,335,327705,0,0,0,
2021/8/6 0:00,6,6,金,晴,400,369495,0,0,0,
2021/8/7 0:00,7,7,土,晴時々雨一時曇、雷を伴う,508,481890,0,1,0,
2021/8/8 0:00,8,8,日,曇時々晴後雨,680,703295,1,1,0,
2021/8/9 0:00,9,9,月,曇時々雨,1005,515465,0,0,1,
2021/8/10 0:00,10,10,火,曇時々晴,512,507740,0,0,0,
2021/8/11 0:00,11,11,水,大雨,404,500015,0,0,0,
2021/8/12 0:00,12,12,木,大雨、雷を伴う,458,549040,0,0,0,
2021/8/13 0:00,13,13,金,大雨,365,417035,0,0,0,
2021/8/14 0:00,14,14,土,大雨、雷を伴う,141,178170,0,0,0,
2021/8/15 0:00,15,15,日,曇時々晴,456,436000,0,0,0,
2021/8/16 0:00,16,16,月,大雨時々曇,200,198340,0,0,0,
2021/8/17 0:00,17,17,火,大雨時々曇、雷を伴う,140,120835,0,0,0,
2021/8/18 0:00,18,18,水,曇時々雨,277,280215,0,0,0,
2021/8/19 0:00,19,19,木,×,294,234960,0,0,0,
2021/8/20 0:00,20,20,金,×,321,305855,0,0,0,
2021/8/21 0:00,21,21,土,×,457,410780,0,0,0,
2021/8/22 0:00,22,22,日,×,,,0,0,0,
2021/8/23 0:00,23,23,月,×,,,0,0,0,
2021/8/24 0:00,24,24,火,曇時々雨,,,0,0,0,
2021/8/25 0:00,25,25,水,曇一時雨後一時晴,,,0,0,0,
